Product_Name,Secondary_Info,Product_Price,URL
"Laptop HP Windows 11 CORE i5 GEN 6 - 12TH GEN 32GB RAM 1TB SSD WEBCAM WIFI
Opens in a new window or tab",,,https://www.ebay.com/itm/115777670869?_skw=laptops&itmmeta=01JPYBTMY5SMBMRNNDF4A5M2JC&hash=item1af4e30ed5:g:onIAAOSw17hk3WLf&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dUM81PG9rA8CuMGqPxQXo0mHr7WpsrnOO5Hh5eTzFr6V2fMuFxDshgN%2FWXMzzK59JqpQ5os8fOudjhFHDePf%2FG1AxteJSHi764TqVRNXFc1uKkmoMU6bZXy9%2BTczMlqd9iP1RvsmeEeYzctbNiA1cXquMEY1hSwrF8anY6HzqwCnrd8lT1v2KUSR2pLO7mtqITYhx0fdchGqLBH%2BcokVXBmCwr%2FdXiKObAHZwnfEizTNrRYu7tQ5UAEblHW2Gg2k8gW8UR7CmJ4HCVHtxwY87a%7Ctkp%3ABFBMxM_qy7dl
"HP Elitebook 745 G6, 14"", Ryzen 5 Pro 3500U, 16GB, 256GB, Win 11 (Refurbished)
Opens in a new window or tab",,,https://www.ebay.com/itm/197064127374?_skw=laptops&itmmeta=01JPYBTMY5K3YATDD0G8Y4QZ5Y&hash=item2de1eff38e:g:fjQAAOSwPc5n1N8V&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1empBAeikk69%2FBna5PnmuJwPORFeVBlDOD%2BmLiGqwnzfJPNGwdezdc1WSqN%2FXmM%2B2caG6kte%2FKJLUrskzvRCsvaDOTLoeru5dOV5M4QN6wp4At3txeu6p45%2By9hEVCe21xcud3YvVZTiTtI6QdzbQ%2FSRymg2preIskTzMpn%2BDC3KCVIx4bz2TomvEqNnNRi5JbIhRVl132i0U%2B9lm2GN04irOjiBnRWGKm2eZNNZSwf6ptUHasrCZSiuOpXJlwZxzi1hnO66kJJ5EiWfQblmxjp%7Ctkp%3ABFBMxM_qy7dl
"Dell Latitude 7290 i5 8250U 16GB RAM 256GB SSD M.2 Nvme 12.5"" 3.4Ghz WIN 11 PRO
Opens in a new window or tab",Good - Refurbished,"ZAR 4,003.07 to ZAR 9,890.53",https://www.ebay.com/itm/395842393444?_skw=laptops&itmmeta=01JPYBTMY5QBX6MDBP8WJGW9YP&hash=item5c2a0b9564:g:4BAAAOSw6R5nILM8&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1ecKzsNARZuB%2FAKuvbEFT9RCpDZGd3mJLzfV5%2Fr7xcFWsSJmXySkwBTV6JxN9lqYZtlXkiC2PaTyvv2rQXXgeNkyBdBDD4aa%2FU5uGBn2ESJUAmbeOoRGl68FM7Zx3xlGoRwbxyCmKNX30Z8ElQ%2BIGrKhT5onwKr0txifxgsG9Cr823p8Vk2t8LdlpTPJtmGRw7dDdD%2B4M05%2FeFsUrrWa6ddvHwISK0oxtiRrszVCJehl2EOKKhO5U8CsklbzdhFYmUnbtDS6Sqvu9pKBQ5mehFt%7Ctkp%3ABFBMxM_qy7dl
"HP Elitebook 840 G7 Laptop Core i5 10210U 16GB RAM 512GB SSD Win 11 Renewed
Opens in a new window or tab",Very Good - Refurbished,"ZAR 3,098.59",https://www.ebay.com/itm/326362441569?_skw=laptops&itmmeta=01JPYBTMY5AR5JFCQ3BVVZ9Q7T&hash=item4bfcb7a761:g:kCwAAOSwlCBnUbO9&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fpWpfXdXzfnkikQgtBzJwmx8XXw2Irum1vCg0PmGplyPzHNS7V1qzrhiyg%2BiMt7lwtkTM%2BRZ%2BlaXx6gZ0m4bEa9FmP12ieH8YhlpEPbCy%2BqGmvt1KBuR1iyvN5DwmkzTQHLKUJGrQG6ce1gPCLxDBtvvNqFz1W3kTMMeMLDzMB094t7bD%2FfxUXiQ759SXaSxJu8dXIjPW1v63XR84%2BXIQXMhxzcNDZIA0xNO8OI25FPViDEYj8H7rMnmDmbQFFuncyBZfLAtXg8Zw633F24QcH%7Ctkp%3ABFBMxM_qy7dl
"Dell Laptop Latitude 5430 14"" i5/i7 12th Gen 16GB RAM 256GB SSD FHD Win11Pro, VG
Opens in a new window or tab",Pre-Owned,"ZAR 3,716.21",https://www.ebay.com/itm/116390062287?_skw=laptops&itmmeta=01JPYBTMY57G939CPY1SFYB3P9&hash=item1b196368cf:g:HmkAAOSwx6pnytcY&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1doDr6aSRwiG6zVp%2FyQbqN5YnIWAAWC9z67h2L9AfqfhG8vvwCrl7Sx2XeQ3Xb1gT0T%2FgxX3diYwm8DnCn6bHzRq7PofkmrDhiMLbYFqIlMixAeaRMtIcXm%2Bz9Un9P1LivK6zv9%2FKnwlBHIfoIakf%2FeijOLpT3o7WuRMBJ2JCSpPw5yAgqYSUWTVrW2FqORWn8pKtyF3yr6pnV8EzwFDdlk9zbxUF7sIDxNMdT7A%2Flg3IwFcCv9lrf%2BbxrPFpSPfK1F5kEQHYqtVrnX6LFdfSql%7Ctkp%3ABk9SR8TP6su3ZQ
"New 16GB RAM 512GB ROM US Plug 14in Laptop Touch Display 16GB RAM Fingerprint Re
Opens in a new window or tab",Excellent - Refurbished,"ZAR 7,770.90",https://www.ebay.com/itm/205329657399?_skw=laptops&itmmeta=01JPYBTMY5SMRXJH6QWK7TEK35&hash=item2fce99ee37:g:eIcAAOSw2BtnBO1g&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cAfK%2FGzqkT%2F2LyvCMq9Bm73DkGdN%2FEVsCytE2G%2BQOpfgaPNnWDeEua2v3wxvucIVQzwphpeBuDRxdxvEuCjQjOftJJCNSiUU%2FwFQgENEUCnaxjIZ92h1sF8sqXum05ZGigrt72zt05OCV7XsYzaOeXdQCgsX3u1hXMHFUqDiHrAQDuX9fbNZQhAtJ483oie5d31%2FBAIYOvFB%2FgxUNrg%2BmN5mtTz5twKy%2BM0t1mDeVbkA%3D%3D%7Ctkp%3ABk9SR8TP6su3ZQ
"HP 470 G8 Intel 11th gen i7-1165G7 16GB 512GB SSD Windows 11 Pro WiFi AX 17.3""
Opens in a new window or tab",Very Good - Refurbished,"ZAR 9,537.30 to ZAR 9,866.98",https://www.ebay.com/itm/286418832195?_skw=laptops&itmmeta=01JPYBTMY5N4157Z8JCQWXHD6Q&hash=item42afe48b43:g:KOQAAOSw3NRnzWGt&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eRGsl2s571XlbwJQn%2FOEynUvtYOdsopJJcMbS7LZyp7UpOC%2F37pMEdgk6yGVKVn62nbLjKzwCmJR8R%2Byl0f729APZhsLzwy1q2ZTXTPL2Zx0R9IeS0jtUMgi3yLsSTjdLv%2Bhy8C2kT%2Bh%2Bsk6eF6qZuwncrfZfWL4czKAGbs8us6tAXYLBe5P4MtsABhjyfoBFzChKi%2FZhMtQOj3S9NfVjjY9m6aMi1uBxKx9bFQggAQQ%3D%3D%7Ctkp%3ABk9SR8TP6su3ZQ
"Dell Laptop Latitude 5300 13.3"" I5 8th Gen 16GB RAM 240GB SSD Windows 11
Opens in a new window or tab",Brand New,"ZAR 7,586.17",https://www.ebay.com/itm/116505564375?_skw=laptops&itmmeta=01JPYBTMY5MCJG1BV0F2NGZH13&hash=item1b2045d4d7:g:zAMAAOSwfiRnUHyS&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dhMxi3WGHO3DfcoQJzLAPCtd3IpigfoSFIbjc3v7Ge6w%2BML48VJfFtqA3V8RWD2T6A0YWCsS902HewHFDx0qFe0ilEJTKcyawd8KZImxUTxa%2BcSVmwrIpte11UgohPl3VQ7HX5sXwbTWntw5AJNflaPMTyqLYwzsLu4Wtn%2BRE1acd2999rFVAB39G%2FojxSg%2FAyTg3Fmk5MYSMt4uShXPDZWlgwX9Iu%2BRye6xRP9QL%2FwQ%3D%3D%7Ctkp%3ABk9SR8TP6su3ZQ
"Acer Nitro 5 ANV15-51 Intel i5-13420h 16Gb RAM 1TB SSD 8Gb RTX4060 15.6"" FHD
Opens in a new window or tab",Pre-Owned,"ZAR 7,394.68",https://www.ebay.com/itm/167221784420?_skw=laptops&itmmeta=01JPYBTMY525JBEMNKGVQV00J5&hash=item26ef31ef64:g:NTwAAOSw1otncf3~&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cGYaMSfToiCT7z%2FU06nDEfkkjzNopeLo5pnTh%2B1kl8jL%2B0Y8X9GudcSA0kRDJ8A2Kc0eo9wQsQTi1Y%2FyQd6L7klune%2Fn6RsUzrcsSIRRS8lhJLL9NXlxOfAWZFFOzYQKRxwWwoLpwqMEh4BGCVyqvNJo1vuKVqjX3Q8JlvvabkN8xztL4Pqv54Ksui%2BDR3FCEDGtx8dId9K92LP42nGY%2Fme0eJqM%2Btxg5ovEt7ijDpXWgmtN81lp9pFHoSuyoP%2FHafAZgd3jL8RoUzce7WmrV9%7Ctkp%3ABk9SR8TP6su3ZQ
"LAPTOP Fast Dell Core i5 6TH gen 16GB RAM 512GB SSD Windows 10 HDMI
Opens in a new window or tab",Excellent - Refurbished,"ZAR 3,532.10",https://www.ebay.com/itm/115623710834?_skw=laptops&itmmeta=01JPYBTMY5T9Q7HCZM1FCEVC2P&hash=item1aebb5d072:g:JLkAAOSwAW5jvsfC&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1ffzkkqFF2%2BmLJHRWkXYqhxb%2FFI8iqTk69%2F4TILsI1bVzowoU6vztUjXxGAGJ7AmPFiJCea5JSdkEI8a0UQWum6b%2FHxU%2Bg%2FhC%2Bi1h3C5V6jr1kEvZBkv2L97sJDImyMzTQUd%2Bp1NyfyGTWrGaMy7dzBalsVr9MQAGawj4FZd9%2FyqVFgbmBduW81IEoU02oRIWqN5AHezKUC7CKUQAGdjiILwu6AEXUB3%2F7ZIZqGoZAF5w%3D%3D%7Ctkp%3ABk9SR8TP6su3ZQ
